684:[(1.5264241695404053, 'DumpSSIMRetrieveState'), (2.4529480934143066, 'DumpSSIMState'), (139.15920901298523, 'FinalState')]
688:[(1.5331950187683105, 'DumpSSIMRetrieveState'), (2.027780055999756, 'DumpSSIMState'), (137.27170705795288, 'FinalState')]
692:[(1.5350751876831055, 'DumpSSIMRetrieveState'), (4.207578182220459, 'DumpSSIMState'), (129.17967009544373, 'FinalState')]
696:[(1.535567045211792, 'DumpSSIMRetrieveState'), (2.1027820110321045, 'DumpSSIMState'), (135.36755418777466, 'FinalState')]
700:[(1.536025047302246, 'DumpSSIMRetrieveState'), (2.5627851486206055, 'DumpSSIMState'), (148.50198101997375, 'FinalState')]
704:[(1.536487102508545, 'DumpSSIMRetrieveState'), (2.0963521003723145, 'DumpSSIMState'), (138.53043007850647, 'FinalState')]
708:[(1.5369551181793213, 'DumpSSIMRetrieveState'), (3.025799036026001, 'DumpSSIMState'), (146.19282412528992, 'FinalState')]
712:[(1.5373940467834473, 'DumpSSIMRetrieveState'), (1.9751510620117188, 'DumpSSIMState'), (149.33254504203796, 'FinalState')]
716:[(1.5378150939941406, 'DumpSSIMRetrieveState'), (4.592259168624878, 'DumpSSIMState'), (122.75443816184998, 'FinalState')]
720:[(1.5382192134857178, 'DumpSSIMRetrieveState'), (2.4679222106933594, 'DumpSSIMState'), (152.82282900810242, 'FinalState')]
724:[(1.538640022277832, 'DumpSSIMRetrieveState'), (2.830263137817383, 'DumpSSIMState'), (150.86958813667297, 'FinalState')]
728:[(1.5390570163726807, 'DumpSSIMRetrieveState'), (2.1449801921844482, 'DumpSSIMState'), (172.10609817504883, 'FinalState')]
732:[(1.539485216140747, 'DumpSSIMRetrieveState'), (2.471698045730591, 'DumpSSIMState'), (134.01954817771912, 'FinalState')]
736:[(1.5411691665649414, 'DumpSSIMRetrieveState'), (1.9357690811157227, 'DumpSSIMState'), (128.60551714897156, 'FinalState')]
740:[(1.5428450107574463, 'DumpSSIMRetrieveState'), (2.7318761348724365, 'DumpSSIMState'), (128.99837112426758, 'FinalState')]
744:[(1.545896053314209, 'DumpSSIMRetrieveState'), (2.154654026031494, 'DumpSSIMState'), (135.08901715278625, 'FinalState')]
748:[(1.5526371002197266, 'DumpSSIMRetrieveState'), (3.281332015991211, 'DumpSSIMState'), (134.38968706130981, 'FinalState')]
752:[(1.5606000423431396, 'DumpSSIMRetrieveState'), (2.010594129562378, 'DumpSSIMState'), (134.93650817871094, 'FinalState')]
756:[(1.563185214996338, 'DumpSSIMRetrieveState'), (3.864725112915039, 'DumpSSIMState'), (139.24308705329895, 'FinalState')]
760:[(1.5637731552124023, 'DumpSSIMRetrieveState'), (2.1641650199890137, 'DumpSSIMState'), (140.4976201057434, 'FinalState')]
764:[(1.564216136932373, 'DumpSSIMRetrieveState'), (3.272783041000366, 'DumpSSIMState'), (131.13307213783264, 'FinalState')]
768:[(1.5646600723266602, 'DumpSSIMRetrieveState'), (2.25886607170105, 'DumpSSIMState'), (121.36170315742493, 'FinalState')]
772:[(1.5651230812072754, 'DumpSSIMRetrieveState'), (3.5258660316467285, 'DumpSSIMState'), (132.90898513793945, 'FinalState')]
776:[(1.5655632019042969, 'DumpSSIMRetrieveState'), (2.228084087371826, 'DumpSSIMState'), (84.31980013847351, 'FinalState')]
780:[(1.5659911632537842, 'DumpSSIMRetrieveState'), (3.618256092071533, 'DumpSSIMState'), (131.99561214447021, 'FinalState')]
784:[(1.5664310455322266, 'DumpSSIMRetrieveState'), (2.36672306060791, 'DumpSSIMState'), (135.77797412872314, 'FinalState')]
788:[(1.566857099533081, 'DumpSSIMRetrieveState'), (5.6373610496521, 'DumpSSIMState'), (128.31243515014648, 'FinalState')]
792:[(1.5672791004180908, 'DumpSSIMRetrieveState'), (2.1114661693573, 'DumpSSIMState'), (156.2709801197052, 'FinalState')]
796:[(1.5677111148834229, 'DumpSSIMRetrieveState'), (3.1463301181793213, 'DumpSSIMState'), (135.09737610816956, 'FinalState')]
800:[(1.5681571960449219, 'DumpSSIMRetrieveState'), (2.150921106338501, 'DumpSSIMState'), (127.05625820159912, 'FinalState')]
804:[(1.5710651874542236, 'DumpSSIMRetrieveState'), (3.3221211433410645, 'DumpSSIMState'), (130.24632716178894, 'FinalState')]
